Opcode	Instruction	64-bit Mode	Compat/32-bit-Legacy Mode	Description
DD /0 	FLD m64fp 	V	V	Push m64fp onto the FPU register stack.
DB /5 	FLD m80fp 	V	V	Push m80fp onto the FPU register stack.
D9 C0 +i 	FLD ST(i) 	V	V	Push ST(i) onto the FPU register stack.
				
D9 E8 	FLD1 	V	V	Push +1.0 onto the FPU register stack.
D9 E9 	FLDL2T 	V	V	Push log210 onto the FPU register stack.
D9 EA 	FLDL2E 	V	V	Push log2e onto the FPU register stack.
D9 EB 	FLDPI 	V	V	Push π onto the FPU register stack.
D9 EC 	FLDLG2 	V	V	Push log102 onto the FPU register stack.
D9 ED 	FLDLN2 	V	V	Push loge2 onto the FPU register stack.
D9 EE 	FLDZ 	V	V	Push +0.0 onto the FPU register stack.
				
D9 /5 	FLDCW m2byte 	V	V	Load FPU control word from m2byte.
				
D9 /4 	FLDENV m14/28byte 	V	V	Load FPU environment from m14byte or m28byte.
				
D8 /1 	FMUL m32fp 	V	V	Multiply ST(0) by m32fp and store result in ST(0).
DC /1 	FMUL m64fp 	V	V	Multiply ST(0) by m64fp and store result in ST(0).
D8 C8 +i 	FMUL ST(0), ST(i) 	V	V	Multiply ST(0) by ST(i) and store result in ST(0).
DC C8 +i 	FMUL ST(i), ST(0) 	V	V	Multiply ST(i) by ST(0) and store result in ST(i).
DE C8 +i 	FMULP ST(i), ST(0) 	V	V	Multiply ST(i) by ST(0), store result in ST(i), and pop the register stack.
DE C9 	FMULP 	V	V	Multiply ST(1) by ST(0), store result in ST(1), and pop the register stack.
DA /1 	FIMUL m32int 	V	V	Multiply ST(0) by m32int and store result in ST(0).
DE /1 	FIMUL m16int 	V	V	Multiply ST(0) by m16int and store result in ST(0).
				
D9 D0 	FNOP 	V	V	No operation is performed.
				
D9 F3 	FPATAN 	V	V	Replace ST(1) with arctan(ST(1)/ST(0)) and pop the register stack.
				
D9 F8 	FPREM 	V	V	Replace ST(0) with the remainder obtained from dividing ST(0) by ST(1).
				
D9 F5 	FPREM1 	V	V	Replace ST(0) with the IEEE remainder obtained from dividing ST(0) by ST(1).
				
D9 F2 	FPTAN 	V	V	Replace ST(0) with its tangent and push 1 onto the FPU stack.
				
D9 FC 	FRNDINT 	V	V	Round ST(0) to an integer.
				
DD /4 	FRSTOR m94/108byte 	V	V	Load FPU state from m94byte or m108byte.
				
9B DD /6 	FSAVE m94/108byte 	V	V	Store FPU state to m94byte or m108byte after checking for pending unmasked floating-point exceptions. Then re-initialize the FPU.
DD /6 	FNSAVE m94/108byte 	V	V	Store FPU environment to m94byte or m108byte without checking for pending unmasked floating-point exceptions. Then re-initialize the FPU.
				
D9 FD 	FSCALE 	V	V	Scale ST(0) by ST(1).
				
D9 FE 	FSIN 	V	V	Replace ST(0) with its sine.
				
D9 FB 	FSINCOS 	V	V	Compute the sine and cosine of ST(0); replace ST(0) with the sine, and push the cosine onto the register stack.
				
D9 FA 	FSQRT 	V	V	Computes square root of ST(0) and stores the result in ST(0).
				
D9 /2 	FST m32fp 	V	V	Copy ST(0) to m32fp.
DD /2 	FST m64fp 	V	V	Copy ST(0) to m64fp.
DD D0 +i 	FST ST(i) 	V	V	Copy ST(0) to ST(i).
D9 /3 	FSTP m32fp 	V	V	Copy ST(0) to m32fp and pop register stack.
DD /3 	FSTP m64fp 	V	V	Copy ST(0) to m64fp and pop register stack.
DB /7 	FSTP m80fp 	V	V	Copy ST(0) to m80fp and pop register stack.
DD D8 +i 	FSTP ST(i) 	V	V	Copy ST(0) to ST(i) and pop register stack.
				
9B D9 /7 	FSTCW m2byte 	V	V	Store FPU control word to m2byte after checking for pending unmasked floating-point exceptions.
D9 /7 	FNSTCW m2byte 	V	V	Store FPU control word to m2byte without checking for pending unmasked floating-point exceptions.
				
9B D9 /6 	FSTENV m14/28byte 	V	V	Store FPU environment to m14byte or m28byte after checking for pending unmasked floating-point exceptions. Then mask all floating-point exceptions.
D9 /6 	FNSTENV m14/28byte 	V	V	Store FPU environment to m14byte or m28byte without checking for pending unmasked floating-point exceptions. Then mask all floating-point exceptions.
				
9B DD /7 	FSTSW m2byte 	V	V	Store FPU status word at m2byte after checking for pending unmasked floating-point exceptions.
9B DF E0 	FSTSW AX 	V	V	Store FPU status word in AX register after checking for pending unmasked floating-point exceptions.
DD /7 	FNSTSW m2byte 	V	V	Store FPU status word at m2byte without checking for pending unmasked floating-point exceptions.
DF E0 	FNSTSW AX 	V	V	Store FPU status word in AX register without checking for pending unmasked floating-point exceptions.
				
D8 /4 	FSUB m32fp 	V	V	Subtract m32fp from ST(0) and store result in ST(0).
DC /4 	FSUB m64fp 	V	V	Subtract m64fp from ST(0) and store result in ST(0).
D8 E0 +i 	FSUB ST(0), ST(i) 	V	V	Subtract ST(i) from ST(0) and store result in ST(0).
DC E8 +i 	FSUB ST(i), ST(0) 	V	V	Subtract ST(0) from ST(i) and store result in ST(i).
DE E8 +i 	FSUBP ST(i), ST(0) 	V	V	Subtract ST(0) from ST(i), store result in ST(i), and pop register stack.
DE E9 	FSUBP 	V	V	Subtract ST(0) from ST(1), store result in ST(1), and pop register stack.
DA /4 	FISUB m32int 	V	V	Subtract m32int from ST(0) and store result in ST(0).
DE /4 	FISUB m16int 	V	V	Subtract m16int from ST(0) and store result in ST(0).
				
D8 /5 	FSUBR m32fp 	V	V	Subtract ST(0) from m32fp and store result in ST(0).
DC /5 	FSUBR m64fp 	V	V	Subtract ST(0) from m64fp and store result in ST(0).
D8 E8 +i 	FSUBR ST(0), ST(i) 	V	V	Subtract ST(0) from ST(i) and store result in ST(0).
DC E0 +i 	FSUBR ST(i), ST(0) 	V	V	Subtract ST(i) from ST(0) and store result in ST(i).
DE E0 +i 	FSUBRP ST(i), ST(0) 	V	V	Subtract ST(i) from ST(0), store result in ST(i), and pop register stack.
DE E1 	FSUBRP 	V	V	Subtract ST(1) from ST(0), store result in ST(1), and pop register stack.
DA /5 	FISUBR m32int 	V	V	Subtract ST(0) from m32int and store result in ST(0).
DE /5 	FISUBR m16int 	V	V	Subtract ST(0) from m16int and store result in ST(0).
				
D9 E4 	FTST 	V	V	Compare ST(0) with 0.0.
				
DD E0 +i 	FUCOM ST(i) 	V	V	Compare ST(0) with ST(i).
DD E1 	FUCOM 	V	V	Compare ST(0) with ST(1).
DD E8 +i 	FUCOMP ST(i) 	V	V	Compare ST(0) with ST(i) and pop register stack.
DD E9 	FUCOMP 	V	V	Compare ST(0) with ST(1) and pop register stack.
DA E9 	FUCOMPP 	V	V	Compare ST(0) with ST(1) and pop register stack twice.
				
D9 E5 	FXAM 	V	V	Classify value or number in ST(0).
				
D9 C8 +i 	FXCH ST(i) 	V	V	Exchange the contents of ST(0) and ST(i).
D9 C9 	FXCH 	V	V	Exchange the contents of ST(0) and ST(1).
				
0F AE /1 	FXRSTOR m512byte	V	V	Restore the x87 FPU, MMX, XMM, and MXCSR register state from m512byte.
REX.W+ 0F AE /1	FXRSTOR64 m512byte	V	NE	Restore the x87 FPU, MMX, XMM, and MXCSR register state from m512byte.
				
0F AE /0 	FXSAVE m512byte	V	V	Save the x87 FPU, MMX, XMM, and MXCSR register state to m512byte.
REX.W+ 0F AE /0	FXSAVE64 m512byte	V	NE	Save the x87 FPU, MMX, XMM, and MXCSR register state to m512byte.
				
D9 F4 	FXTRACT	V	V	Separate value in ST(0) into exponent and significand, store exponent in ST(0), and push the significand onto the register stack.
				
D9 F1 	FYL2X 	V	V	Replace ST(1) with (ST(1) ∗ log2ST(0)) and pop the register stack.
				
D9 F9 	FYL2XP1 	V	V	Replace ST(1) with ST(1) ∗ log2(ST(0) + 1.0) and pop the register stack.
				
66 0F 7C /r 	HADDPD xmm1, xmm2/m128	V	V	Horizontal add packed double-precision floating-point values from xmm2/m128 to xmm1.
VEX.NDS.128.66.0F.WIG 7C /r	VHADDPD xmm1, xmm2, xmm3/m128	V	V	Horizontal add packed double-precision floating-point values from xmm2 and xmm3/mem.
VEX.NDS.256.66.0F.WIG 7C /r	VHADDPD ymm1, ymm2, ymm3/m256	V	V	Horizontal add packed double-precision floating-point values from ymm2 and ymm3/mem.
				
F2 0F 7C /r 	HADDPS xmm1, xmm2/m128	V	V	Horizontal add packed single-precision floating-point values from xmm2/m128 to xmm1.
VEX.NDS.128.F2.0F.WIG 7C /r	VHADDPS xmm1, xmm2, xmm3/m128	V	V	Horizontal add packed single-precision floating-point values from xmm2 and xmm3/mem.
VEX.NDS.256.F2.0F.WIG 7C /r	VHADDPS ymm1, ymm2, ymm3/m256	V	V	Horizontal add packed single-precision floating-point values from ymm2 and ymm3/mem.
				
F4 	HLT 	V	V	Halt
				
66 0F 7D /r 	HSUBPD xmm1, xmm2/m128	V	V	Horizontal subtract packed double-precision floating-point values from xmm2/m128 to xmm1.
VEX.NDS.128.66.0F.WIG 7D /r 	VHSUBPD xmm1, xmm2, xmm3/m128 	V	V	Horizontal subtract packed double-precision floating-point values from xmm2 and xmm3/mem.
VEX.NDS.256.66.0F.WIG 7D /r 	VHSUBPD ymm1, ymm2, ymm3/m256 	V	V	Horizontal subtract packed double-precision floating-point values from ymm2 and ymm3/mem.
				
F2 0F 7D /r 	HSUBPS xmm1, xmm2/m128	V	V	Horizontal subtract packed single-precision floating-point values from xmm2/m128 to xmm1.
VEX.NDS.128.F2.0F.WIG 7D /r	VHSUBPS xmm1, xmm2, xmm3/m128	V	V	Horizontal subtract packed single-precision floating-point values from xmm2 and xmm3/mem.
VEX.NDS.256.F2.0F.WIG 7D /r	VHSUBPS ymm1, ymm2, ymm3/m256	V	V	Horizontal subtract packed single-precision floating-point values from ymm2 and ymm3/mem.
				
F6 /7 	IDIV r/m8 	V	V	Signed divide AX by r/m8, with result stored in: AL = Quotient, AH = Remainder.
REX+ F6 /7 	IDIV r/m8	V	NE	Signed divide AX by r/m8, with result stored in AL = Quotient, AH = Remainder.
F7 /7 	IDIV r/m16 	V	V	Signed divide DX:AX by r/m16, with result stored in AX = Quotient, DX = Remainder.
F7 /7 	IDIV r/m32 	V	V	Signed divide EDX:EAX by r/m32, with result stored in EAX = Quotient, EDX = Remainder.
REX.W+ F7 /7 	IDIV r/m64 	V	NE	Signed divide RDX:RAX by r/m64, with result stored in RAX = Quotient, RDX = Remainder.
				
F6 /5	IMUL r/m8	V	V	AX= AL ∗ r/m byte.
F7 /5 	IMUL r/m16 	V	V	DX:AX = AX ∗ r/m word.
F7 /5 	IMUL r/m32 	V	V	EDX:EAX = EAX ∗ r/m32.
REX.W+ F7 /5 	IMUL r/m64 	V	NE	RDX:RAX = RAX ∗ r/m64.
0F AF /r 	IMUL r16, r/m16 	V	V	word register = word register ∗ r/m16.
0F AF /r 	IMUL r32, r/m32 	V	V	doubleword register = doubleword register ∗  r/m32.
REX.W+ 0F AF /r 	IMUL r64, r/m64 	V	NE	Quadword register = Quadword register ∗  r/m64.
6B /r ib 	IMUL r16, r/m16, imm8 	V	V	word register = r/m16 ∗ sign-extended immediate byte.
6B /r ib 	IMUL r32, r/m32, imm8 	V	V	doubleword register = r/m32 ∗ sign- extended immediate byte.
REX.W+ 6B /r ib 	IMUL r64, r/m64, imm8 	V	NE	Quadword register = r/m64 ∗ sign-extended  immediate byte.
69 /r iw 	IMUL r16, r/m16, imm16 	V	V	word register = r/m16 ∗ immediate word.
69 /r id 	IMUL r32, r/m32, imm32 	V	V	doubleword register = r/m32 ∗ immediate doubleword.
REX.W+ 69 /r id 	IMUL r64, r/m64, imm32 	V	NE	Quadword register = r/m64 ∗ immediate doubleword.
				
E4 ib 	IN AL, imm8 	V	V	Input byte from imm8 I/O port address into AL.
E5 ib 	IN AX, imm8 	V	V	Input word from imm8 I/O port address into AX.
E5 ib 	IN EAX, imm8 	V	V	Input dword from imm8 I/O port address into EAX.
EC 	IN AL,DX 	V	V	Input byte from I/O port in DX into AL.
ED 	IN AX,DX 	V	V	Input word from I/O port in DX into AX.
ED 	IN EAX,DX 	V	V	Input doubleword from I/O port in DX into EAX.
				
FE /0 	INC r/m8 	V	V	Increment r/m byte by 1.
REX+ FE /0 	INC r/m8	V	NE	Increment r/m byte by 1.
FF /0 	INC r/m16 	V	V	Increment r/m word by 1.
FF /0 	INC r/m32 	V	V	Increment r/m doubleword by 1.
REX.W+ FF /0	INC r/m64 	V	NE	Increment r/m quadword by 1.
40 +rw 	INC r16 	NE	V	Increment word register by 1.
40 +rd 	INC r32 	NE	V	Increment doubleword register by 1.
				
6C 	INS m8, DX 	V	V	Input byte from I/O port specified in DX into memory location specified in ES:(E)DI or RDI.
6D 	INS m16, DX 	V	V	Input word from I/O port specified in DX into memory location specified in ES:(E)DI or RDI.1
6D 	INS m32, DX 	V	V	Input doubleword from I/O port specified in DX into memory location specified in ES:(E)DI or RDI.1
6C 	INSB 	V	V	Input byte from I/O port specified in DX into memory location specified with ES:(E)DI or RDI.1
PREF.66+ 6D 	INSW 	V	V	Input word from I/O port specified in DX into memory location specified in ES:(E)DI or RDI.1
6D 	INSD 	V	V	Input doubleword from I/O port specified in DX into memory location specified in ES:(E)DI or RDI.1
				
66 0F 3A 21 /r ib 	INSERTPS xmm1, xmm2/m32, imm8	V	V	Insert a single precision floating-point value selected by imm8 from xmm2/m32 into xmm1 at the specified destination element specified by imm8 and zero out destination elements in xmm1 as indicated in imm8.
VEX.NDS.128.66.0F3A.WIG 21 /r ib	VINSERTPS xmm1, xmm2, xmm3/m32, imm8	V	V	Insert a single precision floating point value selected by imm8 from xmm3/m32 and merge into xmm2 at the specified destination element specified by imm8 and zero out destination elements in xmm1 as indicated in imm8.
				
CC 	INT 3 	V	V	Interrupt 3—trap to debugger.
CD ib 	INT imm8 	V	V	Interrupt vector number specified by immediate byte.
CE 	INTO 	I	V	Interrupt 4—if overflow flag is 1.
				
0F 08 	INVD 	V	V	Flush internal caches; initiate flushing of external caches.
				
0F 01 /7 	INVLPG m 	V	V	Invalidate TLB Entry for page that contains m.
				
66 0F 38 82 /r 	INVPCID r32, m128	NE	V	Invalidates entries in the TLBs and paging-structure caches based on invalidation type in r32 and descriptor in m128.
66 0F 38 82 /r	INVPCID r64, m128	V	NE	Invalidates entries in the TLBs and paging-structure caches based on invalidation type in r64 and descriptor in m128.
				
CF 	IRET 	V	V	Interrupt return (16-bit operand size).
CF 	IRETD 	V	V	Interrupt return (32-bit operand size).
REX.W+ CF 	IRETQ 	V	NE	Interrupt return (64-bit operand size).
				
77 cb 	JA rel8 	V	V	Jump short if above (CF=0 and ZF=0).
73 cb 	JAE rel8 	V	V	Jump short if above or equal (CF=0).
72 cb 	JB rel8 	V	V	Jump short if below (CF=1).
76 cb 	JBE rel8 	V	V	Jump short if below or equal (CF=1 or ZF=1).
72 cb 	JC rel8 	V	V	Jump short if carry (CF=1).
E3 cb 	JCXZ rel8 	NE	V	Jump short if CX register is 0.
E3 cb 	JECXZ rel8 	V	V	Jump short if ECX register is 0.
E3 cb 	JRCXZ rel8 	V	NE	Jump short if RCX register is 0.
74 cb 	JE rel8 	V	V	Jump short if equal (ZF=1).
7F cb 	JG rel8 	V	V	Jump short if greater (ZF=0 and SF=OF).
7D cb 	JGE rel8 	V	V	Jump short if greater or equal (SF=OF).
7C cb 	JL rel8 	V	V	Jump short if less (SF!= OF).
7E cb 	JLE rel8 	V	V	Jump short if less or equal (ZF=1 or SF!= OF).
76 cb 	JNA rel8 	V	V	Jump short if not above (CF=1 or ZF=1).
72 cb 	JNAE rel8 	V	V	Jump short if not above or equal (CF=1).
73 cb 	JNB rel8 	V	V	Jump short if not below (CF=0).
77 cb 	JNBE rel8 	V	V	Jump short if not below or equal (CF=0 and ZF=0).
73 cb 	JNC rel8 	V	V	Jump short if not carry (CF=0).
75 cb 	JNE rel8 	V	V	Jump short if not equal (ZF=0).
7E cb 	JNG rel8 	V	V	Jump short if not greater (ZF=1 or SF!= OF).
7C cb 	JNGE rel8 	V	V	Jump short if not greater or equal (SF!= OF).
7D cb 	JNL rel8 	V	V	Jump short if not less (SF=OF).
7F cb 	JNLE rel8 	V	V	Jump short if not less or equal (ZF=0 and SF=OF).
71 cb 	JNO rel8 	V	V	Jump short if not overflow (OF=0).
7B cb 	JNP rel8 	V	V	Jump short if not parity (PF=0).
79 cb 	JNS rel8 	V	V	Jump short if not sign (SF=0).
75 cb 	JNZ rel8 	V	V	Jump short if not zero (ZF=0).
70 cb 	JO rel8 	V	V	Jump short if overflow (OF=1).
7A cb 	JP rel8 	V	V	Jump short if parity (PF=1).
7A cb 	JPE rel8 	V	V	Jump short if parity even (PF=1).
7B cb 	JPO rel8 	V	V	Jump short if parity odd (PF=0).
78 cb 	JS rel8 	V	V	Jump short if sign (SF=1).
74 cb 	JZ rel8 	V	V	Jump short if zero (ZF = 1).
0F 87 cw 	JA rel16 	NS	V	Jump near if above (CF=0 and ZF=0). Not supported in 64-bit mode.
0F 87 cd 	JA rel32 	V	V	Jump near if above (CF=0 and ZF=0).
0F 83 cw 	JAE rel16 	NS	V	Jump near if above or equal (CF=0). Not supported in 64-bit mode.
0F 83 cd 	JAE rel32 	V	V	Jump near if above or equal (CF=0).
0F 82 cw 	JB rel16 	NS	V	Jump near if below (CF=1). Not supported in 64-bit mode.
0F 82 cd 	JB rel32 	V	V	Jump near if below (CF=1).
0F 86 cw 	JBE rel16 	NS	V	Jump near if below or equal (CF=1 or ZF=1). Not supported in 64-bit mode.
0F 86 cd 	JBE rel32 	V	V	Jump near if below or equal (CF=1 or ZF=1).
0F 82 cw 	JC rel16 	NS	V	Jump near if carry (CF=1). Not supported in 64-bit mode.
0F 82 cd 	JC rel32 	V	V	Jump near if carry (CF=1).
0F 84 cw 	JE rel16 	NS	V	Jump near if equal (ZF=1). Not supported in 64-bit mode.
0F 84 cd 	JE rel32 	V	V	Jump near if 0 (ZF=1).
0F 8F cw 	JG rel16 	NS	V	Jump near if greater (ZF=0 and SF=OF). Not supported in 64-bit mode.
0F 8F cd 	JG rel32 	V	V	Jump near if greater (ZF=0 and SF=OF).
0F 8D cw 	JGE rel16 	NS	V	Jump near if greater or equal (SF=OF). Not supported in 64-bit mode.
0F 8D cd 	JGE rel32 	V	V	Jump near if greater or equal (SF=OF).
0F 8C cw 	JL rel16 	NS	V	Jump near if less (SF!= OF). Not supported in  64-bit mode.
0F 8C cd 	JL rel32 	V	V	Jump near if less (SF!= OF).
0F 8E cw 	JLE rel16 	NS	V	Jump near if less or equal (ZF=1 or SF!= OF).  Not supported in 64-bit mode.
0F 8E cd 	JLE rel32 	V	V	Jump near if less or equal (ZF=1 or SF!= OF).
0F 86 cw 	JNA rel16 	NS	V	Jump near if not above (CF=1 or ZF=1). Not supported in 64-bit mode.
0F 86 cd 	JNA rel32 	V	V	Jump near if not above (CF=1 or ZF=1).
0F 82 cw 	JNAE rel16 	NS	V	Jump near if not above or equal (CF=1). Not supported in 64-bit mode.
0F 82 cd 	JNAE rel32 	V	V	Jump near if not above or equal (CF=1).
0F 83 cw 	JNB rel16 	NS	V	Jump near if not below (CF=0). Not supported in 64-bit mode.
0F 83 cd 	JNB rel32 	V	V	Jump near if not below (CF=0).
0F 87 cw 	JNBE rel16 	NS	V	Jump near if not below or equal (CF=0 and ZF=0). Not supported in 64-bit mode.
0F 87 cd 	JNBE rel32 	V	V	Jump near if not below or equal (CF=0 and ZF=0). 
0F 83 cw 	JNC rel16 	NS	V	Jump near if not carry (CF=0). Not supported in 64-bit mode.
0F 83 cd 	JNC rel32 	V	V	Jump near if not carry (CF=0).
0F 85 cw 	JNE rel16 	NS	V	Jump near if not equal (ZF=0). Not supported in 64-bit mode.
0F 85 cd 	JNE rel32 	V	V	Jump near if not equal (ZF=0).
0F 8E cw 	JNG rel16 	NS	V	Jump near if not greater (ZF=1 or SF != OF). Not supported in 64-bit mode.
0F 8E cd 	JNG rel32 	V	V	Jump near if not greater (ZF=1 or SF != OF).
0F 8C cw 	JNGE rel16 	NS	V	Jump near if not greater or equal (SF != OF). Not supported in 64-bit mode.
0F 8C cd 	JNGE rel32 	V	V	Jump near if not greater or equal (SF != OF).
0F 8D cw 	JNL rel16 	NS	V	Jump near if not less (SF=OF). Not supported in 64-bit mode.
0F 8D cd 	JNL rel32 	V	V	Jump near if not less (SF=OF).
0F 8F cw 	JNLE rel16 	NS	V	Jump near if not less or equal (ZF=0 and SF=OF). Not supported in 64-bit mode.
0F 8F cd 	JNLE rel32 	V	V	Jump near if not less or equal (ZF=0 and SF=OF).
0F 81 cw 	JNO rel16 	NS	V	Jump near if not overflow (OF=0). Not supported in 64-bit mode.
0F 81 cd 	JNO rel32 	V	V	Jump near if not overflow (OF=0).
0F 8B cw 	JNP rel16 	NS	V	Jump near if not parity (PF=0). Not supported in 64-bit mode.
0F 8B cd 	JNP rel32 	V	V	Jump near if not parity (PF=0).
0F 89 cw 	JNS rel16 	NS	V	Jump near if not sign (SF=0). Not supported in 64-bit mode.
0F 89 cd 	JNS rel32 	V	V	Jump near if not sign (SF=0).
0F 85 cw 	JNZ rel16 	NS	V	Jump near if not zero (ZF=0). Not supported in 64-bit mode.
0F 85 cd 	JNZ rel32 	V	V	Jump near if not zero (ZF=0).
0F 80 cw 	JO rel16 	NS	V	Jump near if overflow (OF=1). Not supported in 64-bit mode.
0F 80 cd 	JO rel32 	V	V	Jump near if overflow (OF=1).
0F 8A cw 	JP rel16 	NS	V	Jump near if parity (PF=1). Not supported in 64-bit mode.
0F 8A cd 	JPE rel32 	V	V	Jump near if parity even (PF=1).
0F 8B cw 	JPO rel16 	NS	V	Jump near if parity odd (PF=0). Not supported in 64-bit mode.
0F 8B cd 	JPO rel32 	V	V	Jump near if parity odd (PF=0).
0F 88 cw 	JS rel16 	NS	V	Jump near if sign (SF=1). Not supported in 64-bit mode.
0F 88 cd 	JS rel32 	V	V	Jump near if sign (SF=1).
0F 84 cw 	JZ rel16 	NS	V	Jump near if 0 (ZF=1). Not supported in 64-bit mode.
0F 84 cd 	JZ rel32 	V	V	Jump near if 0 (ZF=1).
				
EB cb 	JMP rel8 	V	V	Jump short, RIP = RIP + 8-bit displacement sign extended to 64-bits
E9 cw 	JMP rel16 	NS	V	Jump near, relative, displacement relative to next instruction. Not supported in 64-bit mode.
E9 cd 	JMP rel32 	V	V	Jump near, relative, RIP = RIP + 32-bit displacement sign extended to 64-bits
FF /4 	JMP r/m16 	NS	V	Jump near, absolute indirect, address = zero-extended r/m16. Not supported in 64-bit mode.
FF /4 	JMP r/m32 	NS	V	Jump near, absolute indirect, address given in r/m32. Not supported in 64-bit mode.
FF /4 	JMP r/m64 	V	NE	Jump near, absolute indirect, RIP = 64-Bit offset from register or memory
EA cd 	JMP ptr16:16 	I	V	Jump far, absolute, address given in operand
EA cp 	JMP ptr16:32 	I	V	Jump far, absolute, address given in operand
FF /5 	JMP m16:16 	V	V	Jump far, absolute indirect, address given in m16:16
FF /5 	JMP m16:32 	V	V	Jump far, absolute indirect, address given in m16:32.
REX.W+ FF /5 	JMP m16:64 	V	NE	Jump far, absolute indirect, address given in m16:64.
				
9F 	LAHF 	V	V	Load: AH = EFLAGS(SF:ZF:0:AF:0:PF:1:CF).
				
0F 02 /r 	LAR r16, r16/m16 	V	V	r16 = access rights referenced by r16/m16
0F 02 /r 	LAR reg, r32/m16	V	V	reg = access rights referenced by r32/m16
				
F2 0F F0 /r 	LDDQU xmm1, mem	V	V	Load unaligned data from mem and return double quadword in xmm1.
VEX.128.F2.0F.WIG F0 /r	VLDDQU xmm1, m128	V	V	Load unaligned packed integer values from mem to xmm1.
VEX.256.F2.0F.WIG F0 /r	VLDDQU ymm1, m256	V	V	Load unaligned packed integer values from mem to ymm1.
				
0F AE /2 	LDMXCSR m32	V	V	Load MXCSR register from m32.
VEX.LZ.0F.WIG AE /2	VLDMXCSR m32	V	V	Load MXCSR register from m32.
				
C5 /r 	LDS r16, m16:16 	I	V	Load DS:r16 with far pointer from memory.
C5 /r 	LDS r32, m16:32 	I	V	Load DS:r32 with far pointer from memory.
0F B2 /r 	LSS r16, m16:16 	V	V	Load SS:r16 with far pointer from memory.
0F B2 /r 	LSS r32, m16:32 	V	V	Load SS:r32 with far pointer from memory.
REX+ 0F B2 /r 	LSS r64, m16:64 	V	NE	Load SS:r64 with far pointer from memory.
C4 /r 	LES r16, m16:16 	I	V	Load ES:r16 with far pointer from memory.
C4 /r 	LES r32, m16:32 	I	V	Load ES:r32 with far pointer from memory.
0F B4 /r 	LFS r16, m16:16 	V	V	Load FS:r16 with far pointer from memory.
0F B4 /r 	LFS r32, m16:32 	V	V	Load FS:r32 with far pointer from memory.
REX+ 0F B4 /r 	LFS r64, m16:64 	V	NE	Load FS:r64 with far pointer from memory.
0F B5 /r 	LGS r16, m16:16 	V	V	Load GS:r16 with far pointer from memory.
0F B5 /r 	LGS r32, m16:32 	V	V	Load GS:r32 with far pointer from memory.
REX+ 0F B5 /r 	LGS r64, m16:64 	V	NE	Load GS:r64 with far pointer from memory.
				
8D /r 	LEA r16, m 	V	V	Store effective address for m in register r16.
8D /r 	LEA r32, m 	V	V	Store effective address for m in register r32.
REX.W+ 8D /r 	LEA r64, m 	V	NE	Store effective address for m in register r64.
				
PREF.66+ C9 	LEAVE p66	V	V	Set SP to BP, then pop BP.
C9 	LEAVE 	NE	V	Set ESP to EBP, then pop EBP.
C9 	LEAVE 	V	NE	Set RSP to RBP, then pop RBP.
				
0F AE /5 	LFENCE 	V	V	Serializes load operations.
				
0F 01 /2 	LGDT m16&32 	NE	V	Load m into GDTR.
0F 01 /3 	LIDT m16&32 	NE	V	Load m into IDTR.
0F 01 /2 	LGDT m16&64 	V	NE	Load m into GDTR.
0F 01 /3 	LIDT m16&64 	V	NE	Load m into IDTR.
				
0F 00 /2 	LLDT r/m16 	V	V	Load segment selector r/m16 into LDTR.
				
0F 01 /6 	LMSW r/m16 	V	V	Loads r/m16 in machine status word of CR0.
				
F0 	LOCK 	V	V	Asserts LOCK# signal for duration of the accompanying instruction.
				
AC 	LODS m8 	V	V	For legacy mode, Load byte at address DS:(E)SI into AL. For 64-bit mode load byte at address (R)SI into AL.
AD 	LODS m16 	V	V	For legacy mode, Load word at address DS:(E)SI into AX. For 64-bit mode load word at address (R)SI into AX.
AD 	LODS m32 	V	V	For legacy mode, Load dword at address DS:(E)SI into EAX. For 64-bit mode load dword at address (R)SI into EAX.
REX.W+ AD 	LODS m64 	V	NE	Load qword at address (R)SI into RAX.
AC 	LODSB 	V	V	For legacy mode, Load byte at address DS:(E)SI into AL. For 64-bit mode load byte at address (R)SI into AL.
PREF.66+ AD 	LODSW 	V	V	For legacy mode, Load word at address DS:(E)SI into AX. For 64-bit mode load word at address (R)SI into AX.
AD 	LODSD 	V	V	For legacy mode, Load dword at address DS:(E)SI into EAX. For 64-bit mode load dword at address (R)SI into EAX.
REX.W+ AD 	LODSQ 	V	NE	Load qword at address (R)SI into RAX.
				
E2 cb 	LOOP rel8 	V	V	Decrement count; jump short if count != 0.
E1 cb 	LOOPE rel8 	V	V	Decrement count; jump short if count != 0 and  ZF = 1.
E0 cb 	LOOPNE rel8 	V	V	Decrement count; jump short if count != 0 and  ZF = 0.
				
0F 03 /r 	LSL r16, r16/m16 	V	V	Load: r16 = segment limit, selector r16/m16.
0F 03 /r 	LSL r32, r32/m16	V	V	Load: r32 = segment limit, selector r32/m16.
REX.W+ 0F 03 /r	LSL r64, r32/m16	V	V	Load: r64 = segment limit, selector r32/m16
				
0F 00 /3 	LTR r/m16 	V	V	Load r/m16 into task register.
				
66 0F F7 /r 	MASKMOVDQU xmm1, xmm2	V	V	Selectively write bytes from xmm1 to memory location using the byte mask in xmm2. The default memory location is specified by DS:DI/EDI/RDI.
